股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
603172,万丰股份,基础化工,化学制品,2024-04-17,2024-06-11,12.27,16.87,0.3752,0.38576509584244
002748,世龙实业,基础化工,化学原料,2024-04-24,2024-06-03,6.92,5.08,-0.2659,-0.293767550292803
301446,福事特,机械设备,工程机械,2024-05-20,2024-06-03,18.27,19.07,0.0439,0.124073154842156
001373,翔腾新材,电子,光学光电子,2024-05-06,2024-06-03,29.12,27.84,-0.0438,0.011549370144737
002486,嘉麟杰,纺织服饰,纺织制造,2024-05-06,2024-05-27,2.2,1.99,-0.0955,-0.0831733044742883
300621,维业股份,建筑装饰,装修装饰,2024-04-24,2024-05-27,8.28,9.49,0.1458,0.0711197871522827
600857,宁波中百,商贸零售,一般零售,2024-04-24,2024-05-20,6.59,7.02,0.0659,-0.0515576559748251
301372,科净源,环保,环境治理,2024-05-13,2024-05-20,28.69,27.39,-0.0456,-0.102951825565053
600768,宁波富邦,有色金属,工业金属,2024-05-06,2024-05-13,8.55,8.27,-0.0323,-0.00358262248866437
300517,海波重科,建筑装饰,专业工程,2024-05-06,2024-05-13,8.29,8.3,0.0012,0.0299173775113356
000593,德龙汇能,公用事业,燃气,2024-04-24,2024-05-06,5.05,5.49,0.0871,-0.000992801515720301
002295,精艺股份,有色金属,工业金属,2024-04-24,2024-05-06,5.88,6.45,0.0973,0.0092071984842797
300295,三六五网,传媒,数字媒体,2024-04-17,2024-05-06,7.89,9.8,0.2421,0.118906946885061
002667,威领股份,机械设备,专用设备,2024-04-24,2024-05-06,6.74,7.41,0.0994,0.0113071984842797
301027,华蓝集团,建筑装饰,工程咨询服务,2024-04-10,2024-05-06,8.92,8.57,-0.0391,-0.0407648538201494
300721,怡达股份,基础化工,化学制品,2024-04-10,2024-04-24,10.76,9.84,-0.0856,-0.00616932315407635
300626,华瑞股份,电力设备,电机,2024-04-17,2024-04-24,6.36,6.59,0.0361,0.00384149084496841
600202,哈空调,机械设备,通用设备,2024-04-17,2024-04-24,4.44,4.36,-0.0179,-0.0501585091550316
300883,龙利得,轻工制造,包装印刷,2024-04-17,2024-04-24,4.44,4.58,0.0315,-0.000758509155031589
002696,百洋股份,农林牧渔,饲料,2024-03-25,2024-04-24,4.97,4.47,-0.1006,-0.016525481504231
300854,中兰环保,环保,环境治理,2024-04-17,2024-04-24,10.82,10.87,0.0045,-0.0277585091550316
301209,联合化学,基础化工,化学制品,2024-04-10,2024-04-17,13.72,12.87,-0.0613,0.0468988523324258
301063,海锅股份,电力设备,风电设备,2024-03-25,2024-04-17,15.66,14.38,-0.0817,0.0309975719929172
000593,德龙汇能,公用事业,燃气,2024-04-10,2024-04-17,5.85,4.96,-0.1521,-0.0439011476675743
002295,精艺股份,有色金属,工业金属,2024-03-11,2024-04-17,5.85,7.55,0.2901,0.345087271732899
600768,宁波富邦,有色金属,工业金属,2024-04-10,2024-04-17,10.67,7.96,-0.2546,-0.146401147667574
300966,共同药业,医药生物,化学制药,2024-04-10,2024-04-17,16.29,14.88,-0.0865,0.0216988523324258
301040,中环海陆,电力设备,风电设备,2024-04-01,2024-04-17,14.65,11.34,-0.2259,-0.07087405033411
000586,汇源通信,通信,通信设备,2024-04-01,2024-04-10,10.71,9.7,-0.0943,-0.0417915484736297
688671,碧兴物联,环保,环保设备,2024-04-01,2024-04-10,27.1,23.41,-0.1359,-0.0833915484736297
300295,三六五网,传媒,数字媒体,2024-01-12,2024-04-10,11.83,8.81,-0.2553,-0.087190658521702
603172,万丰股份,基础化工,化学制品,2024-03-25,2024-04-10,13.88,14.6,0.052,0.0570445322617687
600791,京能置业,房地产,房地产开发,2024-04-01,2024-04-10,3.91,3.65,-0.0665,-0.0139915484736297
600692,亚通股份,房地产,房地产开发,2024-03-11,2024-04-10,5.35,5.22,-0.0242,-0.0838675399428417
600455,博通股份,计算机,软件开发,2024-03-25,2024-04-01,20.52,21.1,0.0283,-0.0217942930214672
300626,华瑞股份,电力设备,电机,2024-02-26,2024-04-01,7.17,7.93,0.1072,-0.0213572450289827
000593,德龙汇能,公用事业,燃气,2024-03-25,2024-04-01,5.47,5.67,0.0366,-0.0134942930214672
002667,威领股份,机械设备,专用设备,2024-03-25,2024-04-01,8.2,8.62,0.0512,0.00110570697853283
300854,中兰环保,环保,环境治理,2024-03-18,2024-03-25,12.93,12.15,-0.06,-0.0436623768984624
301288,清研环境,环保,环保设备,2024-03-18,2024-03-25,15.38,14.32,-0.069,-0.0526623768984624
301126,达嘉维康,医药生物,医药商业,2024-03-18,2024-03-25,9.77,9.18,-0.0606,-0.0442623768984624
300721,怡达股份,基础化工,化学制品,2024-03-18,2024-03-25,11.07,10.79,-0.025,-0.00866237689846237
002748,世龙实业,基础化工,化学原料,2024-03-18,2024-03-25,7.91,7.75,-0.021,-0.00466237689846237
002857,三晖电气,电力设备,电网设备,2024-03-18,2024-03-25,13,12.09,-0.0697,-0.0533623768984624
600791,京能置业,房地产,房地产开发,2024-02-02,2024-03-18,4.06,3.75,-0.0764,-0.248246999786963
002012,凯恩股份,轻工制造,造纸,2024-03-04,2024-03-18,4.06,4.38,0.078,-0.039377331562879
000593,德龙汇能,公用事业,燃气,2024-03-11,2024-03-18,5.53,5.65,0.0217,-0.0610293942010627
001259,利仁科技,家用电器,小家电,2024-03-11,2024-03-18,23.62,25.11,0.0628,-0.0199293942010627
688671,碧兴物联,环保,环保设备,2024-03-11,2024-03-18,24.61,25.86,0.051,-0.0317293942010627
301063,海锅股份,电力设备,风电设备,2024-03-11,2024-03-18,16.23,16.61,0.023,-0.0597293942010627
