股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
300506,名家汇,建筑装饰,装修装饰,2024-04-24,2024-05-06,1.34,1.33,-0.0112,-0.0992928015157203
002795,永和智控,机械设备,通用设备,2024-04-24,2024-05-06,4.22,4.53,0.0735,-0.0145928015157203
002207,准油股份,石油石化,油服工程,2024-04-10,2024-05-06,5.97,5.5,-0.0787,-0.0803648538201494
002713,东易日盛,建筑装饰,装修装饰,2024-04-24,2024-05-06,2.86,3.02,0.057,-0.0310928015157203
301228,实朴检测,社会服务,专业服务,2024-04-17,2024-04-24,10.81,10.87,0.0056,-0.0266585091550316
603716,塞力医疗,医药生物,医药商业,2024-04-17,2024-04-24,6.66,6.73,0.0105,-0.0217585091550316
300588,熙菱信息,计算机,计算机设备,2024-04-17,2024-04-24,7.98,8.15,0.0213,-0.0109585091550316
688328,深科达,机械设备,专用设备,2024-04-17,2024-04-24,14.68,15.21,0.0358,0.00354149084496841
300175,朗源股份,农林牧渔,农产品加工,2024-04-17,2024-04-24,3.88,4.63,0.1933,0.161041490844968
300169,天晟新材,基础化工,化学制品,2024-04-17,2024-04-24,4.79,4.66,-0.0271,-0.0593585091550316
300807,天迈科技,计算机,计算机设备,2024-04-17,2024-04-24,20.48,22.16,0.082,0.0497414908449684
300125,聆达股份,公用事业,电力,2024-04-17,2024-04-24,4.53,4.4,-0.028,-0.0602585091550316
300103,达刚控股,机械设备,专用设备,2024-04-10,2024-04-17,4.56,3.89,-0.1469,-0.0387011476675742
600213,亚星客车,汽车,商用车,2024-04-10,2024-04-17,6.47,5.48,-0.153,-0.0448011476675742
002719,麦趣尔,食品饮料,饮料乳品,2024-04-01,2024-04-17,8.88,6.84,-0.2297,-0.07467405033411
000622,恒立实业,综合,综合,2024-04-10,2024-04-17,3.12,2.71,-0.1314,-0.0232011476675742
002842,翔鹭钨业,有色金属,小金属,2024-04-10,2024-04-17,7.16,5.71,-0.2025,-0.0943011476675743
600847,万里股份,电力设备,电池,2024-04-10,2024-04-17,8.13,6.72,-0.1734,-0.0652011476675742
002848,高斯贝尔,家用电器,黑色家电,2024-04-01,2024-04-17,9.9,7.3,-0.2626,-0.10757405033411
603139,康惠制药,医药生物,中药,2024-04-10,2024-04-17,16.19,13.39,-0.1729,-0.0647011476675742
000004,国华网安,计算机,软件开发,2024-04-01,2024-04-10,14.98,12.56,-0.1615,-0.10899154847363
603389,亚振家居,轻工制造,家居用品,2024-04-01,2024-04-10,6.69,4.96,-0.2586,-0.20609154847363
600355,精伦电子,通信,通信设备,2024-04-01,2024-04-10,4.2,3.74,-0.1095,-0.0569915484736297
002861,瀛通通讯,电子,消费电子,2024-04-01,2024-04-10,10.74,10.34,-0.0373,0.0152084515263703
600243,青海华鼎,机械设备,通用设备,2024-04-01,2024-04-10,4.35,4.12,-0.0529,-0.00039154847362971
300807,天迈科技,计算机,计算机设备,2024-03-25,2024-04-10,27.5,24.45,-0.1109,-0.105855467738231
301228,实朴检测,社会服务,专业服务,2024-04-01,2024-04-10,15.65,13.64,-0.1284,-0.0758915484736297
605178,时空科技,建筑装饰,专业工程,2024-04-01,2024-04-10,20.25,16.39,-0.1906,-0.13809154847363
603716,塞力医疗,医药生物,医药商业,2024-03-25,2024-04-01,8.84,8.11,-0.0826,-0.132694293021467
002862,实丰文化,轻工制造,文娱用品,2024-03-25,2024-04-01,10.49,10.16,-0.032,-0.0820942930214672
600302,标准股份,机械设备,专用设备,2024-03-25,2024-04-01,4.84,5.05,0.0434,-0.00669429302146717
600234,科新发展,建筑装饰,装修装饰,2024-03-25,2024-04-01,6.71,6.29,-0.0626,-0.112694293021467
300956,英力股份,电子,消费电子,2024-03-25,2024-04-01,9.12,9.59,0.0506,0.000505706978532826
603356,华菱精工,机械设备,专用设备,2024-03-18,2024-04-01,15.07,12.99,-0.138,-0.170938248241007
002316,亚联发展,非银金融,多元金融,2024-03-25,2024-04-01,4.74,4.46,-0.0591,-0.109194293021467
002058,威尔泰,机械设备,通用设备,2024-03-25,2024-04-01,11.88,12.32,0.037,-0.0130942930214672
603021,山东华鹏,轻工制造,家居用品,2024-03-25,2024-04-01,4.31,4.39,0.0186,-0.0314942930214672
300169,天晟新材,基础化工,化学制品,2024-03-18,2024-03-25,6.5,6.06,-0.0677,-0.0513623768984624
002114,罗平锌电,有色金属,工业金属,2024-03-11,2024-03-25,5.4,5.45,0.0093,-0.0557401694376497
002591,恒大高新,基础化工,化学制品,2024-03-04,2024-03-25,4.84,5.28,0.0909,-0.00822204185760288
300836,佰奥智能,机械设备,专用设备,2024-03-11,2024-03-25,16.72,16.35,-0.0221,-0.0871401694376497
000929,兰州黄河,食品饮料,非白酒,2024-03-18,2024-03-25,8.35,7.65,-0.0838,-0.0674623768984624
688328,深科达,机械设备,专用设备,2024-03-18,2024-03-25,21.33,19.58,-0.0819,-0.0655623768984624
300961,深水海纳,环保,环境治理,2024-03-18,2024-03-25,10.21,9.68,-0.0519,-0.0355623768984624
600213,亚星客车,汽车,商用车,2024-03-18,2024-03-25,6.81,6.97,0.0235,0.0398376231015376
000757,浩物股份,汽车,汽车服务,2024-03-18,2024-03-25,3.73,3.6,-0.0349,-0.0185623768984624
002621,美吉姆,社会服务,教育,2024-03-04,2024-03-18,2.22,2.37,0.0676,-0.049777331562879
300117,嘉寓股份,建筑装饰,专业工程,2024-03-11,2024-03-18,1.92,1.85,-0.0365,-0.119229394201063
600302,标准股份,机械设备,专用设备,2024-03-11,2024-03-18,4.66,4.78,0.0258,-0.0569293942010627
000004,国华网安,计算机,软件开发,2024-03-11,2024-03-18,13.62,15.62,0.1468,0.0640706057989373
603042,华脉科技,通信,通信设备,2024-03-11,2024-03-18,11.6,12.2,0.0517,-0.0310293942010627
300670,大烨智能,电力设备,电网设备,2024-03-11,2024-03-18,6.1,5.76,-0.0557,-0.138429394201063
603879,永悦科技,基础化工,塑料,2024-03-11,2024-03-18,4.88,7.87,0.6127,0.529970605798937
002862,实丰文化,轻工制造,文娱用品,2024-02-26,2024-03-11,8.73,8.9,0.0196,0.0105113836861305
603388,元成股份,建筑装饰,基础建设,2024-02-19,2024-03-11,4.71,6.75,0.4331,0.211762334708098
300405,科隆股份,基础化工,化学制品,2024-02-26,2024-03-11,5.14,5.23,0.0175,0.00841138368613052
002316,亚联发展,非银金融,多元金融,2024-03-04,2024-03-11,4.72,4.35,-0.0784,-0.110400551150994
002199,东晶电子,电子,元件,2024-03-04,2024-03-11,6.18,6.23,0.0081,-0.0239005511509944
000953,河化股份,医药生物,化学制药,2024-03-04,2024-03-11,3.64,3.58,-0.0165,-0.0485005511509944
300956,英力股份,电子,消费电子,2024-03-04,2024-03-11,8.49,8.74,0.0292,-0.00280055115099443
300588,熙菱信息,计算机,计算机设备,2024-03-04,2024-03-11,9.5,9.56,0.0063,-0.0257005511509944
300169,天晟新材,基础化工,化学制品,2024-02-26,2024-03-04,5.63,6.08,0.0799,0.102101475388333
603042,华脉科技,通信,通信设备,2024-02-26,2024-03-04,11,11.42,0.0382,0.060401475388333
600165,宁科生物,基础化工,化学制品,2024-02-19,2024-03-04,1.15,1.46,0.2699,0.0864339021091231
300076,GQY视讯,电子,光学光电子,2024-02-26,2024-03-04,4.57,4.16,-0.0897,-0.0674985246116671
300117,嘉寓股份,建筑装饰,专业工程,2024-02-26,2024-03-04,1.78,1.7,-0.0449,-0.0226985246116671
603963,大理药业,医药生物,中药,2024-02-26,2024-03-04,8.22,7.9,-0.0389,-0.0166985246116671
300472,新元科技,机械设备,专用设备,2024-02-26,2024-03-04,6.98,6.34,-0.0917,-0.0694985246116671
002621,美吉姆,社会服务,教育,2024-02-19,2024-02-26,1.55,2.24,0.4452,0.234862626704319
600355,精伦电子,通信,通信设备,2024-02-02,2024-02-26,3.24,4.39,0.3549,0.282339797583915
